CustomerID,Age,Gender,Income,Orders,Purchases,City,SignupDate
F001,24.0,Female,29000.0,2,3800,Jaipur,2025-01-18
F002,32.0,Male,51000.0,7,14200,Indore,2025-02-04
F003,27.0,Female,36000.0,4,6900,Udaipur,2025-02-27
F004,,Male,47000.0,6,11800,Bhopal,2025-03-12
F005,39.0,Female,68000.0,11,24500,Pune,2025-03-29
F006,46.0,Male,76000.0,9,27500,Mumbai,2025-04-17
F007,22.0,Female,24000.0,3,4200,Jaipur,2025-05-06
F008,34.0,Male,54000.0,8,15900,Delhi,2025-05-24
F009,29.0,Male,,5,10500,Surat,2025-06-13
F010,41.0,Female,63000.0,10,23000,Pune,2025-06-30
F011,36.0,Female,49000.0,7,15100,Indore,2025-07-16
F012,25.0,Male,31000.0,3,5200,Bhopal,2025-08-02
F013,43.0,,72000.0,12,29000,Mumbai,2025-08-19
F014,31.0,Female,44000.0,6,12800,Delhi,2025-09-05
F015,28.0,Male,40000.0,5,8700,Ahmedabad,2025-09-24
F008,34.0,Male,54000.0,8,15900,Delhi,2025-05-24
